,rating,likes,genre,top cast,language,director
Guess Who's Coming to Dinner,3.81,12167,"['Romance', 'Comedy', 'Drama']","['Katharine Houghton', 'Sidney Poitier', 'Katharine Hepburn']",English,Stanley Kramer
Jumanji,3.6,168917,"['Fantasy', 'Family', 'Adventure']","['Robin Williams', 'Kirsten Dunst', 'Bradley Pierce']",English,Joe Johnston
"What's Up, Doc?",4.06,21608,"['Romance', 'Comedy']","['Barbra Streisand', ""Ryan O'Neal"", 'Madeline Kahn']",English,Peter Bogdanovich
Capernaum,4.13,31086,['Drama'],"['Zain Al Rafeea', 'Yordanos Shifera', 'Boluwatife Treasure Bankole']",Arabic,Nadine Labaki
Garden State,3.43,35732,"['Drama', 'Comedy', 'Romance']","['Zach Braff', 'Natalie Portman', 'Ian Holm']",English,Zach Braff
Le Trou,4.44,12293,"['Drama', 'Crime', 'Thriller']","['Michel Constantin', 'Jean Keraudy', 'Philippe Leroy']",French,Jacques Becker
Saturday Night Fever,3.22,25785,"['Drama', 'Music']","['John Travolta', 'Karen Lynn Gorney', 'Barry Miller']",English,John Badham
Phantom of the Paradise,4.06,39758,"['Music', 'Comedy', 'Horror']","['William Finley', 'Paul Williams', 'Jessica Harper']",English,Brian De Palma
Amour,4.21,42666,"['Drama', 'Romance']","['Jean-Louis Trintignant', 'Emmanuelle Riva', 'Isabelle Huppert']",French,Michael Haneke
Twelve Monkeys,3.86,110747,"['Thriller', 'Mystery', 'Science Fiction']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']",English,Terry Gilliam
The Red Shoes,4.38,47861,"['Drama', 'Romance']","['Moira Shearer', 'Adolf Wohlbrück', 'Marius Goring']",English,Emeric Pressburger
My Life as a Zucchini,4.15,62776,"['Drama', 'Comedy', 'Romance', 'Family', 'Animation']","['Gaspard Schlatter', 'Sixtine Murat', 'Paulin Jaccoud']",French,Claude Barras
The Fly,3.98,131323,"['Science Fiction', 'Horror']","['Jeff Goldblum', 'Geena Davis', 'John Getz']",English,David Cronenberg
Frankenstein,3.83,50000,"['Science Fiction', 'Horror', 'Drama']","['Colin Clive', 'Mae Clarke', 'John Boles']",English,James Whale
The Third Man,4.27,55622,"['Mystery', 'Thriller']","['Joseph Cotten', 'Alida Valli', 'Trevor Howard']",English,Carol Reed
What a Way to Go!,3.76,3915,"['Romance', 'Comedy']","['Shirley MacLaine', 'Paul Newman', 'Robert Mitchum']",English,J. Lee Thompson
The Insider,4.05,26393,"['Drama', 'Thriller']","['Al Pacino', 'Russell Crowe', 'Christopher Plummer']",English,Michael Mann
Lady Bird,3.86,974353,"['Comedy', 'Drama']","['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts']",English,Greta Gerwig
Notting Hill,3.61,197643,"['Comedy', 'Romance']","['Julia Roberts', 'Hugh Grant', 'Gina McKee']",English,Roger Michell
The Young and the Damned,4.18,17377,['Drama'],"['Estela Inda', 'Miguel Inclán', 'Alfonso Mejía']",Spanish,Luis Buñuel
Wild Tales,4.13,68650,"['Comedy', 'Drama', 'Thriller']","['Ricardo Darín', 'Leonardo Sbaraglia', 'Érica Rivas']",Spanish,Damián Szifron
The Piano,3.85,31341,"['Romance', 'Drama']","['Holly Hunter', 'Harvey Keitel', 'Sam Neill']",English,Jane Campion
My Own Private Idaho,3.87,74195,"['Comedy', 'Drama']","['River Phoenix', 'Keanu Reeves', 'James Russo']",English,Gus Van Sant
Women on the Verge of a Nervous Breakdown,4.08,61557,"['Comedy', 'Drama']","['Carmen Maura', 'Antonio Banderas', 'Julieta Serrano']",Spanish,Pedro Almodóvar
Love Letter,4.04,9231,"['Romance', 'Drama']","['Miho Nakayama', 'Etsushi Toyokawa', 'Bunjaku Han']",Japanese,Shunji Iwai
The Warriors,3.83,51047,"['Thriller', 'Action']","['Michael Beck', 'James Remar', 'David Patrick Kelly']",English,Walter Hill
The Color Purple,3.87,32620,"['Crime', 'Drama', 'History']","['Whoopi Goldberg', 'Danny Glover', 'Margaret Avery']",English,Steven Spielberg
A Nightmare on Elm Street,3.73,188624,['Horror'],"['Heather Langenkamp', 'John Saxon', 'Ronee Blakley']",English,Wes Craven
Wings of Desire,4.3,55097,"['Drama', 'Romance', 'Fantasy']","['Bruno Ganz', 'Solveig Dommartin', 'Otto Sander']",German,Wim Wenders
House,4.0,113586,"['Comedy', 'Fantasy', 'Horror']","['Kimiko Ikegami', 'Miki Jinbo', 'Kumiko Ohba']",Japanese,Nobuhiko Obayashi
Seven Psychopaths,3.65,63947,"['Comedy', 'Crime']","['Colin Farrell', 'Sam Rockwell', 'Woody Harrelson']",English,Martin McDonagh
In a Lonely Place,4.2,23919,"['Romance', 'Mystery', 'Drama', 'Crime']","['Humphrey Bogart', 'Gloria Grahame', 'Frank Lovejoy']",English,Nicholas Ray
The Young Girls of Rochefort,4.3,35509,"['Romance', 'Comedy', 'Drama']","['Catherine Deneuve', 'Françoise Dorléac', 'Jacques Perrin']",French,Jacques Demy
"Suddenly, Last Summer",3.72,4236,"['Mystery', 'Thriller', 'Drama']","['Elizabeth Taylor', 'Katharine Hepburn', 'Montgomery Clift']",English,Joseph L. Mankiewicz
Young Frankenstein,4.01,77011,['Comedy'],"['Gene Wilder', 'Teri Garr', 'Marty Feldman']",English,Mel Brooks
Enter the Dragon,3.8,37046,['Action'],"['Bruce Lee', 'John Saxon', 'Jim Kelly']",English,Robert Clouse
Say Anything...,3.58,32611,"['Romance', 'Drama', 'Comedy']","['John Cusack', 'Ione Skye', 'John Mahoney']",English,Cameron Crowe
Terms of Endearment,3.77,11811,"['Comedy', 'Drama']","['Shirley MacLaine', 'Debra Winger', 'Jack Nicholson']",English,James L. Brooks
Joint Security Area,4.12,20860,"['Thriller', 'War', 'Drama', 'Action']","['Lee Young-ae', 'Lee Byung-hun', 'Song Kang-ho']",Korean,Park Chan-wook
Dogville,4.14,53492,"['Crime', 'Thriller', 'Drama']","['Nicole Kidman', 'Paul Bettany', 'John Hurt']",English,Lars von Trier
Where Is the Friend's House?,4.34,40361,"['Family', 'Drama']","['Babek Ahmed Poor', 'Ahmed Ahmed Poor', 'Kheda Barech Defai']",Persian (Farsi),Abbas Kiarostami
Lady Snowblood,4.05,22094,"['Action', 'Crime', 'Drama']","['Meiko Kaji', 'Toshio Kurosawa', 'Masaaki Daimon']",Japanese,Toshiya Fujita
Diabolique,4.16,25810,"['Drama', 'Horror', 'Thriller']","['Véra Clouzot', 'Simone Signoret', 'Paul Meurisse']",French,Henri-Georges Clouzot
Letter Never Sent,4.04,3741,"['Adventure', 'Drama']","['Innokentiy Smoktunovskiy', 'Tatyana Samoylova', 'Vasiliy Livanov']",Russian,Mikhail Kalatozov
The Hidden Fortress,4.11,20050,"['Drama', 'Action', 'Adventure']","['Toshirō Mifune', 'Minoru Chiaki', 'Kamatari Fujiwara']",Japanese,Akira Kurosawa
Nosferatu,3.89,73575,['Horror'],"['Max Schreck', 'Gustav von Wangenheim', 'Greta Schröder']",No spoken language,F. W. Murnau
Gentlemen Prefer Blondes,3.81,39582,"['Romance', 'Comedy']","['Jane Russell', 'Marilyn Monroe', 'Charles Coburn']",English,Howard Hawks
Shaun of the Dead,3.98,358548,"['Comedy', 'Horror']","['Simon Pegg', 'Nick Frost', 'Kate Ashfield']",English,Edgar Wright
Tootsie,3.73,28850,"['Comedy', 'Romance']","['Dustin Hoffman', 'Jessica Lange', 'Teri Garr']",English,Sydney Pollack
Poor Things,4.12,513724,"['Romance', 'Science Fiction', 'Comedy']","['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe']",English,Yorgos Lanthimos
Laura,4.03,21060,"['Mystery', 'Drama']","['Gene Tierney', 'Dana Andrews', 'Clifton Webb']",English,Otto Preminger
Deliverance,3.86,26504,"['Thriller', 'Drama', 'Adventure']","['Jon Voight', 'Burt Reynolds', 'Ned Beatty']",English,John Boorman
Nomadland,3.84,147594,['Drama'],"['Frances McDormand', 'David Strathairn', 'Linda May']",English,Chloé Zhao
The Holdovers,4.22,326077,"['Comedy', 'Drama']","['Paul Giamatti', 'Dominic Sessa', ""Da'Vine Joy Randolph""]",English,Alexander Payne
Early Summer,4.18,6995,['Drama'],"['Setsuko Hara', 'Chishū Ryū', 'Chikage Awashima']",Japanese,Yasujirō Ozu
Being John Malkovich,4.07,158593,"['Comedy', 'Fantasy', 'Drama']","['John Cusack', 'John Malkovich', 'Cameron Diaz']",English,Spike Jonze
Peeping Tom,4.01,25217,"['Horror', 'Thriller', 'Drama']","['Karlheinz Böhm', 'Moira Shearer', 'Anna Massey']",English,Michael Powell
Monster,4.29,73819,['Drama'],"['Sakura Ando', 'Eita Nagayama', 'Soya Kurokawa']",Japanese,Hirokazu Kore-eda
A Bronx Tale,3.98,42030,"['Drama', 'Crime']","['Robert De Niro', 'Chazz Palminteri', 'Lillo Brancato']",English,Robert De Niro
The Station Agent,3.81,8774,"['Drama', 'Comedy']","['Peter Dinklage', 'Patricia Clarkson', 'Bobby Cannavale']",English,Tom McCarthy
"Sherlock, Jr.",4.37,39119,"['Action', 'Comedy', 'Mystery']","['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton']",No spoken language,Buster Keaton
Falling Down,3.68,39041,"['Drama', 'Crime', 'Thriller']","['Michael Douglas', 'Robert Duvall', 'Barbara Hershey']",English,Joel Schumacher
Bringing Up Baby,3.98,33032,"['Drama', 'Romance', 'Comedy']","['Katharine Hepburn', 'Cary Grant', 'Charles Ruggles']",English,Howard Hawks
Hard Boiled,4.14,28875,"['Thriller', 'Crime', 'Action']","['Chow Yun-fat', 'Tony Leung Chiu-wai', 'Anthony Wong']",Cantonese,John Woo
Il Sorpasso,4.18,8883,"['Comedy', 'Drama']","['Vittorio Gassman', 'Jean-Louis Trintignant', 'Catherine Spaak']",Italian,Dino Risi
The Best Years of Our Lives,4.2,13291,"['Drama', 'Romance', 'War']","['Fredric March', 'Myrna Loy', 'Dana Andrews']",English,William Wyler
Children of Heaven,4.1,11906,"['Family', 'Drama']","['Amir Farrokh Hashemian', 'Bahare Seddiqi', 'Nafise Jafar-Mohammadi']",Persian (Farsi),Majid Majidi
Planet of the Apes,4.0,50442,"['Adventure', 'Drama', 'Action', 'Science Fiction']","['Charlton Heston', 'Roddy McDowall', 'Kim Hunter']",English,Franklin J. Schaffner
The Spanish Apartment,3.6,8021,"['Romance', 'Drama', 'Comedy']","['Romain Duris', 'Audrey Tautou', 'Kelly Reilly']",French,Cédric Klapisch
Godzilla,4.03,47719,"['Horror', 'Thriller', 'Science Fiction']","['Akira Takarada', 'Momoko Kôchi', 'Akihiko Hirata']",Japanese,Ishirō Honda
La Jetée,4.33,54401,"['Romance', 'Science Fiction']","['Jean Négroni', 'Hélène Chatelain', 'Davos Hanich']",French,Chris Marker
Brick,3.72,41216,"['Mystery', 'Drama']","['Joseph Gordon-Levitt', 'Emilie de Ravin', 'Nora Zehetner']",English,Rian Johnson
Arsenic and Old Lace,3.91,18145,"['Crime', 'Comedy']","['Cary Grant', 'Priscilla Lane', 'Josephine Hull']",English,Frank Capra
Barbie,3.89,1417078,"['Comedy', 'Adventure']","['Margot Robbie', 'Ryan Gosling', 'America Ferrera']",English,Greta Gerwig
Matilda,3.69,205807,"['Comedy', 'Fantasy', 'Family']","['Mara Wilson', 'Danny DeVito', 'Rhea Perlman']",English,Danny DeVito
Funny Games,3.95,75452,"['Thriller', 'Horror', 'Drama']","['Ulrich Mühe', 'Susanne Lothar', 'Arno Frisch']",German,Michael Haneke
Unforgiven,4.2,73828,['Western'],"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']",English,Clint Eastwood
TÁR,3.95,174006,"['Music', 'Drama']","['Cate Blanchett', 'Nina Hoss', 'Noémie Merlant']",English,Todd Field
Vivre Sa Vie,4.03,43008,['Drama'],"['Anna Karina', 'Sady Rebbot', 'André S. Labarthe']",French,Jean-Luc Godard
The Wave,3.63,18619,"['Thriller', 'Drama']","['Jürgen Vogel', 'Frederick Lau', 'Max Riemelt']",German,Dennis Gansel
It Happened One Night,4.14,36060,"['Comedy', 'Romance']","['Clark Gable', 'Claudette Colbert', 'Walter Connolly']",English,Frank Capra
Dune,3.9,912876,"['Science Fiction', 'Adventure']","['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac']",English,Denis Villeneuve
The Breadwinner,4.04,23644,"['Family', 'Drama', 'Animation', 'War']","['Saara Chaudry', 'Soma Bhatia', 'Laara Sadiq']",English,Nora Twomey
The Omen,3.65,36653,"['Thriller', 'Horror']","['Gregory Peck', 'Lee Remick', 'David Warner']",English,Richard Donner
Perfect Days,4.24,90675,['Drama'],"['Koji Yakusho', 'Tokio Emoto', 'Arisa Nakano']",Japanese,Wim Wenders
Zodiac,4.02,447211,"['Drama', 'Crime', 'Thriller', 'Mystery']","['Jake Gyllenhaal', 'Mark Ruffalo', 'Anthony Edwards']",English,David Fincher
Spellbound,3.75,13983,"['Drama', 'Thriller', 'Mystery', 'Romance']","['Ingrid Bergman', 'Gregory Peck', 'Michael Chekhov']",English,Alfred Hitchcock
The Taking of Pelham One Two Three,4.04,20101,"['Drama', 'Action', 'Thriller', 'Crime']","['Walter Matthau', 'Robert Shaw', 'Martin Balsam']",English,Joseph Sargent
The Hitcher,3.61,14268,"['Horror', 'Thriller', 'Action']","['Rutger Hauer', 'C. Thomas Howell', 'Jennifer Jason Leigh']",English,Robert Harmon
Nights of Cabiria,4.36,27194,['Drama'],"['Giulietta Masina', 'François Périer', 'Franca Marzi']",Italian,Federico Fellini
The Long Goodbye,4.18,43719,"['Crime', 'Drama', 'Comedy']","['Elliott Gould', 'Nina van Pallandt', 'Sterling Hayden']",English,Robert Altman
Safe,3.97,24335,['Drama'],"['Julianne Moore', 'Xander Berkeley', 'Peter Friedman']",English,Todd Haynes
The Hours,3.83,29326,['Drama'],"['Julianne Moore', 'Nicole Kidman', 'Meryl Streep']",English,Stephen Daldry
Black Swan,4.14,803511,"['Drama', 'Thriller', 'Horror']","['Natalie Portman', 'Mila Kunis', 'Vincent Cassel']",English,Darren Aronofsky
Hunt for the Wilderpeople,4.06,132344,"['Comedy', 'Drama', 'Adventure']","['Sam Neill', 'Julian Dennison', 'Rima Te Wiata']",English,Taika Waititi
A Brighter Summer Day,4.49,28599,"['Drama', 'Crime', 'Romance']","['Chang Chen', 'Lisa Yang', 'Chang Kuo-Chu']",Chinese,Edward Yang
Hell or High Water,3.92,94420,"['Crime', 'Western', 'Drama']","['Jeff Bridges', 'Chris Pine', 'Ben Foster']",English,David Mackenzie
All the President's Men,4.15,51811,"['Thriller', 'Mystery', 'History', 'Drama']","['Dustin Hoffman', 'Robert Redford', 'Jack Warden']",English,Alan J. Pakula
Ordinary People,3.97,15376,['Drama'],"['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch']",English,Robert Redford
Lion,3.87,92822,['Drama'],"['Dev Patel', 'Rooney Mara', 'David Wenham']",English,Garth Davis
Ritual,4.22,11214,"['Drama', 'Romance']","['Shunji Iwai', 'Ayako Fujitani', 'Jun Murakami']",Japanese,Hideaki Anno
"Girl, Interrupted",3.89,296730,['Drama'],"['Winona Ryder', 'Angelina Jolie', 'Brittany Murphy']",English,James Mangold
Marie Antoinette,3.72,165018,"['History', 'Drama']","['Kirsten Dunst', 'Jason Schwartzman', 'Steve Coogan']",English,Sofia Coppola
The Innocents,4.11,19667,"['Horror', 'Mystery']","['Deborah Kerr', 'Peter Wyngarde', 'Megs Jenkins']",English,Jack Clayton
Ace in the Hole,4.24,18343,['Drama'],"['Kirk Douglas', 'Jan Sterling', 'Robert Arthur']",English,Billy Wilder
A Woman Under the Influence,4.38,40336,['Drama'],"['Gena Rowlands', 'Peter Falk', 'Fred Draper']",English,John Cassavetes
The French Connection,4.0,45227,"['Crime', 'Action', 'Thriller']","['Gene Hackman', 'Fernando Rey', 'Roy Scheider']",English,William Friedkin
Two Women,3.87,3134,"['War', 'Drama']","['Sophia Loren', 'Jean-Paul Belmondo', 'Raf Vallone']",Italian,Vittorio De Sica
A Few Good Men,3.97,59154,['Drama'],"['Tom Cruise', 'Jack Nicholson', 'Demi Moore']",English,Rob Reiner
American Psycho,3.87,911791,"['Crime', 'Thriller', 'Horror', 'Drama']","['Christian Bale', 'Willem Dafoe', 'Jared Leto']",English,Mary Harron
Good Morning,4.18,22273,"['Family', 'Drama', 'Comedy']","['Keiji Sada', 'Yoshiko Kuga', 'Chishū Ryū']",Japanese,Yasujirō Ozu
Paper Moon,4.32,33662,"['Drama', 'Crime', 'Comedy']","[""Tatum O'Neal"", ""Ryan O'Neal"", 'Madeline Kahn']",English,Peter Bogdanovich
The Birds,3.76,97518,['Horror'],"['Tippi Hedren', 'Rod Taylor', 'Jessica Tandy']",English,Alfred Hitchcock
Eastern Promises,3.87,49980,"['Mystery', 'Crime', 'Thriller']","['Viggo Mortensen', 'Naomi Watts', 'Vincent Cassel']",English,David Cronenberg
Marriage Story,4.0,457546,['Drama'],"['Adam Driver', 'Scarlett Johansson', 'Laura Dern']",English,Noah Baumbach
Blow-Up,3.84,37839,"['Mystery', 'Drama', 'Thriller']","['David Hemmings', 'Vanessa Redgrave', 'Sarah Miles']",English,Michelangelo Antonioni
A Simple Plan,3.84,14771,"['Crime', 'Drama', 'Thriller']","['Bill Paxton', 'Billy Bob Thornton', 'Bridget Fonda']",English,Sam Raimi
Slumdog Millionaire,3.89,152395,"['Drama', 'Romance']","['Dev Patel', 'Freida Pinto', 'Madhur Mittal']",English,Danny Boyle
All About Eve,4.33,44106,['Drama'],"['Bette Davis', 'Anne Baxter', 'George Sanders']",English,Joseph L. Mankiewicz
The Assassination of Jesse James by the Coward Robert Ford,4.02,52839,"['Drama', 'Western', 'Action']","['Casey Affleck', 'Brad Pitt', 'Sam Rockwell']",English,Andrew Dominik
42,3.64,22507,['Drama'],"['Chadwick Boseman', 'Harrison Ford', 'Nicole Beharie']",English,Brian Helgeland
Roma,4.11,163138,['Drama'],"['Yalitza Aparicio', 'Marina de Tavira', 'Diego Cortina Autrey']",Spanish,Alfonso Cuarón
Her,4.03,715397,"['Science Fiction', 'Drama', 'Romance']","['Joaquin Phoenix', 'Scarlett Johansson', 'Amy Adams']",English,Spike Jonze
Sweet Smell of Success,4.23,19964,['Drama'],"['Tony Curtis', 'Burt Lancaster', 'Susan Harrison']",English,Alexander Mackendrick
Being There,4.06,22421,"['Comedy', 'Drama']","['Peter Sellers', 'Shirley MacLaine', 'Melvyn Douglas']",English,Hal Ashby
Gaslight,3.98,16703,"['Drama', 'Crime', 'Mystery', 'Thriller']","['Charles Boyer', 'Ingrid Bergman', 'Joseph Cotten']",English,George Cukor
Mulan,4.08,324195,"['Family', 'Adventure', 'Animation']","['Ming-Na Wen', 'Eddie Murphy', 'BD Wong']",English,Tony Bancroft
American Gangster,3.82,52281,"['Crime', 'Drama']","['Russell Crowe', 'Denzel Washington', 'Chiwetel Ejiofor']",English,Ridley Scott
Miller's Crossing,3.99,36426,"['Drama', 'Thriller', 'Crime']","['Gabriel Byrne', 'Marcia Gay Harden', 'John Turturro']",English,Joel Coen
Mystery Train,3.97,24760,['Comedy'],"['Youki Kudoh', 'Masatoshi Nagase', ""Screamin' Jay Hawkins""]",English,Jim Jarmusch
Rebecca,4.12,44357,"['Mystery', 'Drama', 'Thriller', 'Romance']","['Laurence Olivier', 'Joan Fontaine', 'George Sanders']",English,Alfred Hitchcock
Sideways,3.79,38307,"['Comedy', 'Romance', 'Drama']","['Paul Giamatti', 'Thomas Haden Church', 'Virginia Madsen']",English,Alexander Payne
The Favourite,4.04,276638,"['Thriller', 'Drama', 'Comedy']","['Olivia Colman', 'Emma Stone', 'Rachel Weisz']",English,Yorgos Lanthimos
Field of Dreams,3.59,27305,"['Fantasy', 'Drama']","['Kevin Costner', 'Amy Madigan', 'Gaby Hoffmann']",English,Phil Alden Robinson
Puss in Boots: The Last Wish,4.15,484524,"['Animation', 'Family', 'Fantasy', 'Action', 'Comedy', 'Adventure']","['Antonio Banderas', 'Salma Hayek Pinault', 'Harvey Guillén']",English,Joel Crawford
The Shop Around the Corner,4.15,25097,"['Drama', 'Romance', 'Comedy']","['James Stewart', 'Margaret Sullavan', 'Frank Morgan']",English,Ernst Lubitsch
Kwaidan,4.21,17263,"['Fantasy', 'Horror', 'Drama']","['Michiyo Aratama', 'Misako Watanabe', 'Rentaro Mikuni']",Japanese,Masaki Kobayashi
The Celebration,4.27,31878,['Drama'],"['Ulrich Thomsen', 'Henning Moritzen', 'Thomas Bo Larsen']",Danish,Thomas Vinterberg
Hiroshima Mon Amour,4.18,40587,"['Drama', 'Romance', 'History']","['Emmanuelle Riva', 'Eiji Okada', 'Stella Dassas']",French,Alain Resnais
The Devil Wears Prada,3.77,486684,"['Comedy', 'Drama']","['Anne Hathaway', 'Meryl Streep', 'Emily Blunt']",English,David Frankel
V for Vendetta,3.84,256050,"['Thriller', 'Science Fiction', 'Action']","['Natalie Portman', 'Hugo Weaving', 'Stephen Rea']",English,James McTeigue
Ocean's Eleven,3.89,286484,"['Thriller', 'Crime']","['George Clooney', 'Matt Damon', 'Andy García']",English,Steven Soderbergh
The Intern,3.25,68829,['Comedy'],"['Robert De Niro', 'Anne Hathaway', 'Rene Russo']",English,Nancy Meyers
Dazed and Confused,3.93,164310,"['Drama', 'Comedy']","['Jason London', 'Joey Lauren Adams', 'Matthew McConaughey']",English,Richard Linklater
Raging Bull,4.25,148386,['Drama'],"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci']",English,Martin Scorsese
The Perks of Being a Wallflower,3.91,745631,['Drama'],"['Logan Lerman', 'Emma Watson', 'Ezra Miller']",English,Stephen Chbosky
Don't Look Now,3.8,31979,"['Drama', 'Thriller', 'Horror']","['Julie Christie', 'Donald Sutherland', 'Hilary Mason']",English,Nicolas Roeg
The Castle,3.8,5320,"['Comedy', 'Drama']","['Michael Caton', 'Anne Tenney', 'Stephen Curry']",English,Rob Sitch
Kids,3.49,44403,"['Drama', 'Crime']","['Leo Fitzpatrick', 'Justin Pierce', 'Chloë Sevigny']",English,Larry Clark
Arrival,4.11,733291,"['Science Fiction', 'Mystery', 'Drama']","['Amy Adams', 'Jeremy Renner', 'Forest Whitaker']",English,Denis Villeneuve
Perfect Blue,4.4,318469,"['Thriller', 'Animation']","['Junko Iwao', 'Rica Matsumoto', 'Shiho Niiyama']",Japanese,Satoshi Kon
Dirty Dancing,3.63,160129,"['Drama', 'Romance', 'Music']","['Jennifer Grey', 'Patrick Swayze', 'Jerry Orbach']",English,Emile Ardolino
Boogie Nights,4.22,175672,['Drama'],"['Mark Wahlberg', 'Julianne Moore', 'Burt Reynolds']",English,Paul Thomas Anderson
Coming to America,3.53,57043,"['Comedy', 'Romance']","['Eddie Murphy', 'Arsenio Hall', 'James Earl Jones']",English,John Landis
Léon: The Professional,4.03,394319,"['Crime', 'Action', 'Drama']","['Jean Reno', 'Natalie Portman', 'Gary Oldman']",English,Luc Besson
Pretty Woman,3.6,182526,"['Romance', 'Comedy']","['Richard Gere', 'Julia Roberts', 'Ralph Bellamy']",English,Garry Marshall
Blood Diamond,3.68,58703,"['Action', 'Thriller', 'Drama']","['Leonardo DiCaprio', 'Djimon Hounsou', 'Jennifer Connelly']",English,Edward Zwick
Green Book,3.7,198705,"['Drama', 'History']","['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']",English,Peter Farrelly
(500) Days of Summer,3.66,487162,"['Romance', 'Comedy', 'Drama']","['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Geoffrey Arend']",English,Marc Webb
Blue Velvet,4.1,175660,"['Thriller', 'Crime', 'Mystery', 'Drama']","['Kyle MacLachlan', 'Isabella Rossellini', 'Laura Dern']",English,David Lynch
Sunset Boulevard,4.44,108359,['Drama'],"['William Holden', 'Gloria Swanson', 'Erich von Stroheim']",English,Billy Wilder
Little Women,4.14,844979,"['Romance', 'Drama']","['Saoirse Ronan', 'Florence Pugh', 'Emma Watson']",English,Greta Gerwig
Ferris Bueller's Day Off,3.92,442615,['Comedy'],"['Matthew Broderick', 'Alan Ruck', 'Mia Sara']",English,John Hughes
The Hangover,3.58,288956,['Comedy'],"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis']",English,Todd Phillips
The Wolf of Wall Street,4.0,1052576,"['Comedy', 'Drama', 'Crime']","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']",English,Martin Scorsese
The Bucket List,3.24,21228,"['Drama', 'Comedy']","['Jack Nicholson', 'Morgan Freeman', 'Sean Hayes']",English,Rob Reiner
The Mummy,3.51,138209,"['Fantasy', 'Action', 'Adventure']","['Brendan Fraser', 'Rachel Weisz', 'John Hannah']",English,Stephen Sommers
About Time,3.99,331122,"['Fantasy', 'Romance', 'Drama']","['Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy']",English,Richard Curtis
1917,4.1,564221,"['Drama', 'War', 'Action']","['George MacKay', 'Dean-Charles Chapman', 'Mark Strong']",English,Sam Mendes
Breakfast at Tiffany's,3.75,128630,"['Romance', 'Comedy', 'Drama']","['Audrey Hepburn', 'George Peppard', 'Patricia Neal']",English,Blake Edwards
Cold War,4.03,59917,"['Drama', 'War', 'Romance', 'Music']","['Joanna Kulig', 'Tomasz Kot', 'Borys Szyc']",Polish,Paweł Pawlikowski
La Dolce Vita,4.28,46018,"['Drama', 'Comedy']","['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aimée']",Italian,Federico Fellini
Little Miss Sunshine,4.16,575782,"['Drama', 'Comedy']","['Greg Kinnear', 'Toni Collette', 'Steve Carell']",English,Jonathan Dayton
